"Позиция";"Обозначение";"Корпус";"Количество";"Значение";"Поставщик и справка";
1;"C1,C2,C4,C5,C6,C7";"CP_Radial_D5.0mm_P2.50mm";6;"5uF";;;
2;"C3";"C_0805_HandSoldering";1;"120nF";;;
3;"D1,D2";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"20V";;;
4;"J1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"V_IN";;;
5;"J2";"Measurement_Point_Round-SMD-Pad_Small";1;"+43V";;;
6;"J3";"Measurement_Point_Round-SMD-Pad_Small";1;"-43V";;;
7;"J4";"Measurement_Point_Round-SMD-Pad_Small";1;"+11V";;;
8;"J5";"Measurement_Point_Round-SMD-Pad_Small";1;"-11V";;;
9;"J6";"Measurement_Point_Round-SMD-Pad_Small";1;"+31V";;;
10;"J7";"Measurement_Point_Round-SMD-Pad_Small";1;"-31V";;;
11;"J8";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"V_OUT";;;
12;"Q1";"TO-126_Vertical";1;"BD140";;;
13;"Q2";"TO-126_Vertical";1;"BD139";;;
14;"Q3";"TO-92_Molded_Narrow";1;"2N3904";;;
15;"Q4";"TO-92_Molded_Narrow";1;"2N3905";;;
16;"R1,R2";"R_1206_HandSoldering";2;"6k2";;;
17;"R3,R4";"R_1206_HandSoldering";2;"5k6";;;
18;"R5,R6";"R_1206_HandSoldering";2;"1k";;;
19;"R7,R8";"R_1206_HandSoldering";2;"10R";;;
20;"R9,R12";"R_1206_HandSoldering";2;"18k";;;
21;"R10,R11";"R_1206_HandSoldering";2;"12k";;;
22;"RV1,RV2";"Potentiometer_Trimmer_Bourns_3266Y";2;"4k7";;;
